"Ernest Hemingway, Men Without Women"
"Nicholas Sparks, The Last Song"
Charles Bukowski
Coco Chanel
"Louis de Bernières, Captain Corelli's Mandolin"
Paulo Coelho
Friedrich Nietzsche
"Stephenie Meyer, Eclipse"
"J.K. Rowling, Harry Potter and the Order of the Phoenix"
"Virginia Woolf, A Room of One's Own"
Margaret Atwood
"Suzanne Collins, The Hunger Games"
"Markus Zusak, The Book Thief"
"Pablo Neruda, Twenty Love Poems and a Song of Despair"
Maya Angelou
Milan Kundera
"Stephenie Meyer, New Moon"
David Byrne
A.A. Milne
"Pablo Neruda, Twenty Love Poems and a Song of Despair"
Pablo Neruda
"Jon Krakauer, Into the Wild"
"Markus Zusak, The Book Thief"
"Karen Marie Moning, Bloodfever"
"Ernest Hemingway, A Farewell to Arms"
Lisa Schroeder
"Jeaniene Frost, Halfway to the Grave"
"Veronica Roth, Divergent"
"Chuck Klosterman, Killing Yourself to Live: 85% of a True Story"
"Deborah Reber, Chicken Soup for the Teenage Soul: 101 Stories of Life, Love and Learning"
Pablo Neruda
"Thomas Merton, No Man Is an Island"
A.A. Milne
Haruki Murakami
"Cassandra Clare, Clockwork Prince"
"F. Scott Fitzgerald, The Great Gatsby"
Jalaluddin Rumi
"Charles Bukowski, Love Is a Dog from Hell"
Sharon Salzberg
"José N. Harris, MI VIDA: A Story of Faith, Hope and Love"
"Nicholas Sparks, Dear John"
"Markus Zusak, The Book Thief"
Nicholas Sparks
"Cassandra Clare, City of Ashes"
"Hunter S. Thompson, The Proud Highway: Saga of a Desperate Southern Gentleman, 1955-1967"
"Antoine de Saint-Exupéry, The Little Prince"
"Veronica Roth, Allegiant"
"Nicholas Sparks, The Notebook"
"Audrey Niffenegger, The Time Traveler's Wife"
"Orhan Pamuk, Snow"
"Haruki Murakami, South of the Border, West of the Sun"
"David Mitchell, Cloud Atlas"
"Oscar Wilde, An Ideal Husband"
"Sarah Dessen, The Truth About Forever"
Mary Oliver
"Tahereh Mafi, Shatter Me"
Oscar Wilde
Mitch Albom
"Brian Andreas, Story People: Selected Stories & Drawings of Brian Andreas"
"Carl Sagan, Cosmos"
"F. Scott Fitzgerald, This Side of Paradise"
"C.S. Lewis, The Silver Chair"
"Suzanne Collins, Catching Fire"
"Kurt Vonnegut Jr., The Sirens of Titan"
"John Updike, My Father's Tears and Other Stories"
"Nicholas Sparks, The Notebook"
"Lemony Snicket, Horseradish"
Arrigo Boito
"Chuck Palahniuk, Fight Club"
"Emily Brontë, Wuthering Heights"
"Nicholas Sparks, Dear John"
"Stieg Larsson, The Girl with the Dragon Tattoo"
"Jamie McGuire, Beautiful Disaster"
"Rita Mae Brown, Riding Shotgun"
Elie Wiesel
Sophocles
"Sylvia Plath, The Unabridged Journals of Sylvia Plath"
"Leo Tolstoy, Anna Karenina"
Eleanor Roosevelt
"Lauren Oliver, Delirium"
"Laurell K. Hamilton, A Lick of Frost"
"Honoré de Balzac, Physiologie Du Mariage"
Blaise Pascal
"Nicholas Sparks, At First Sight"
Jonathan Safran Foer
"Caitlyn Siehl, Literary Sexts: A Collection of Short & Sexy Love Poems"
"Melissa Marr, Ink Exchange"
"Rainbow Rowell, Eleanor & Park"
E.E. Cummings
Henry Wadsworth Longfellow
Johnny Depp
Edgar Allan Poe
Julio Cortázar
"Antoine de Saint-Exupéry, The Little Prince"
"Gayle Forman, If I Stay"
Charles M. Schulz
"Erma Bombeck, When God Created Mothers"
"Mitch Albom, For One More Day"
Kahlil Gibran
Lauren Conrad
"François de La Rochefoucauld, Maxims"
"Richelle Mead, Blood Promise"
"Becca Fitzpatrick, Crescendo"
"Fannie Flagg, Fried Green Tomatoes at the Whistle Stop Cafe"
Elizabeth Barrett Browning
Albert Einstein
"David Nicholls, One Day"
Ellen Bass
"Nicholas Sparks, Message in a Bottle"
"Elizabeth Gilbert, Committed: A Skeptic Makes Peace with Marriage"
"Stephanie  Lennox, I Don't Remember You"
"Steve Maraboli, Life, the Truth, and Being Free"
Jalaluddin Rumi
"Victor Hugo, Les Misérables"
"Kiera Cass, The Selection"
"Jeanette Winterson, Written on the Body"
"Anne Sexton, The Complete Poems"
"Rick Riordan, The Mark of Athena"
Percy Bysshe Shelley
Fred Rogers
"Elizabeth Gilbert, Eat, pray, love: one woman's search for everything"
"Jodi Picoult, Mercy"
"Rainer Maria Rilke, Letters to a Young Poet"
Chuck Palahniuk
"André Breton, What is Surrealism?: Selected Writings"
"George R.R. Martin, A Game of Thrones"
Anaïs Nin
John Henry Newman
Toni Morrison
"Stephenie Meyer, New Moon"
Susan Polis Schutz
Mother Teresa
"Sophie Kinsella, The Undomestic Goddess"
"Kate Mosse, The Winter Ghosts"
"Audrey Niffenegger, The Time Traveler's Wife"
"Paulo Coelho, The Alchemist"
"Stephanie Perkins, Anna and the French Kiss"
"Ted Hughes, Letters of Ted Hughes"
"Walter Mosley, Blue Light"
"Suzanne Collins, Mockingjay"
"Chuck Palahniuk, Fight Club"
"E.L. James, Fifty Shades of Grey"
Greg Behrendt
Rita Mae Brown
D.H. Lawrence
"Rick Riordan, The Last Olympian"
"Nicholas Sparks, Dear John"
"Haruki Murakami, Norwegian Wood"
Taylor Swift
"William Shakespeare, A Midsummer Night's Dream"
Elinor Glyn
"Jonathan Safran Foer, Everything Is Illuminated"
"Neil Gaiman, Fragile Things: Short Fictions and Wonders"
Scott Westerfeld
"Diana Gabaldon, Outlander"
Elizabeth Gilbert
"Paulo Coelho, Eleven Minutes"
"Nicholas Sparks, The Choice"
"Orson Scott Card, Ender's Game"
Gabriel García Márquez
"Maggie Stiefvater, Shiver"
"Gloria Naylor, Linden Hills"
"Emily Brontë, Wuthering Heights"
William Shakespeare
"Stephenie Meyer, Twilight"
"Benjamin Alire Sáenz, Aristotle and Dante Discover the Secrets of the Universe"
"Roy T. Bennett, The Light in the Heart"
"Laura Esquivel, Like Water for Chocolate"
"Oscar Wilde, The Ballad Of Reading Gaol"
"Betty  Smith, A Tree Grows in Brooklyn"
"Erich Fromm, The Art of Loving"
"Paulo Coelho, By the River Piedra I Sat Down and Wept"
"John Keats, Bright Star: Love Letters and Poems of John Keats to Fanny Brawne"
"Nicholas Sparks, Dear John"
Richard Siken
"William Shakespeare, Romeo and Juliet"
"Cassandra Clare, City of Bones"
"Tahereh Mafi, Unravel Me"
Mitch Albom
"Markus Zusak, The Book Thief"
"Charlotte Brontë, Jane Eyre"
Nicholas Sparks
Mother Teresa
"Tom Robbins, Jitterbug Perfume"
"Martha Gellhorn, Selected Letters"
Ellen Goodman
"John Green, Will Grayson, Will Grayson"
"Terry Pratchett, Sourcery"
"Cassandra Clare, Clockwork Princess"
Marilyn Monroe
Rick Riordan
"Tammara Webber, Easy"
"Gordon B. Hinckley, Stand a Little Taller"
"Cassandra Clare, City of Fallen Angels"
"William Goldman, The Princess Bride"
"Joni Eareckson Tada, The God I Love"
Edgar Allan Poe
"Kahlil Gibran, Le Prophète"
"Simone Elkeles, Perfect Chemistry"
Dorothy Parker
Anaïs Nin
"John Green, The Fault in Our Stars"
Deb Caletti
Jalaluddin Rumi
"Carolyn Forché, The Country Between Us"
"William Shakespeare, Romeo and Juliet"
"Nicholas Sparks, The Notebook"
Fyodor Dostoyevsky
"Katja Millay, The Sea of Tranquility"
"Katharine Hepburn, Me: Stories of My Life"
"Jodi Picoult, My Sister's Keeper"
"Ian McEwan, Enduring Love"
Nicholas Sparks
"Nicholas Sparks, The Notebook"
L.J. Smith
Erich Segal
"David Foster Wallace, This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life"
"Emily Brontë, Wuthering Heights"
"Haruki Murakami, 1Q84"
"Charlotte Brontë, Jane Eyre"
"Dorothy Parker, The Complete Poems of Dorothy Parker"
"John Green, The Fault in Our Stars"
"William Shakespeare, Great Sonnets"
Sharon Salzberg
"Iris Murdoch, Existentialists and Mystics Writings on Philosophy and Literature"
"Jamie McGuire, Beautiful Disaster"
"J.K. Rowling, Harry Potter and the Order of the Phoenix"
"Haruki Murakami, The Wind-Up Bird Chronicle"
"Nicholas Sparks, Message in a Bottle"
Pablo Neruda
E.E. Cummings
"Rachel Cohn, Naomi and Ely's No Kiss List"
"Jay Asher, Thirteen Reasons Why"
"Gayle Forman, If I Stay"
Paulo Coelho
"Audrey Niffenegger, The Time Traveler's Wife"
"Milan Kundera, The Unbearable Lightness of Being"
"Whitney Otto, How to Make an American Quilt"
Jodi Picoult
"Nicholas Sparks, The Notebook"
"Neil Gaiman, Worlds' End"
"Jenny Han, The Summer I Turned Pretty"
"Haruki Murakami, South of the Border, West of the Sun"
George Eliot
"Rainbow Rowell, Eleanor & Park"
Jim Morrison
"Veronica Roth, Allegiant"
"Elizabeth Gilbert, Eat, Pray, Love"
Doris Lessing
bell hooks
"Gabriel García Márquez, One Hundred Years of Solitude"
W.H. Auden
"Lang Leav, Love & Misadventure"
Bob Marley
William Blake
"Jodi Picoult, My Sister's Keeper"
"Roy T. Bennett, The Light in the Heart"
Albert Einstein
"Lauren Oliver, Delirium"
"Roald Dahl, The Witches"
Pablo Neruda
"Gabriel García Márquez, One Hundred Years of Solitude"
"J.K. Rowling, Harry Potter and the Deathly Hallows"
Vincent van Gogh
"André Brink, Before I Forget"
"Ambrose Bierce, The Unabridged Devil's Dictionary"
E.E. Cummings
T.D. Jakes
"Fyodor Dostoyevsky, The Brothers Karamazov"
C. JoyBell C.
"Haruki Murakami, Norwegian Wood"
Victor Hugo
"Sherrilyn Kenyon, Devil May Cry"
"J.K. Rowling, Harry Potter and the Sorcerer's Stone"
"Chuck Palahniuk, Invisible Monsters"
"Antoine de Saint-Exupéry, Manon, Ballerina"
C. JoyBell C.
"Cassandra Clare, City of Bones"
"Elizabeth Gilbert, Committed: A Skeptic Makes Peace with Marriage"
"Rainbow Rowell, Fangirl"
"Richelle Mead, Shadow Kiss"
Charles Dickens
"Edward P. Jones, The Known World"
"Martin Amis, The Second Plane: 14 Responses to September 11"
John Lennon
"Eleanor Catton, The Luminaries"
"Sarah Dessen, This Lullaby"
Jodi Picoult
Cassandra Clare
"Nicholas Sparks, The Last Song"
"Maggie Stiefvater, Shiver"
"Nicholas Sparks, The Notebook"
"Antoine de Saint-Exupéry, The Little Prince"
"Criss Jami, Venus in Arms"
E.E. Cummings
"Tessa Dare, A Lady of Persuasion"
"Margery Williams Bianco, The Velveteen Rabbit"
Pablo
"Mother Teresa, A Simple Path: Mother Teresa"
"Sarah Cross, Kill Me Softly"
W. Somerset Maugham
"William Goldman, The Princess Bride"
"Paulo Coelho, By the River Piedra I Sat Down and Wept"
Vladimir Nabokov
"Gillian Flynn, Gone Girl"
"Marie Lu, Prodigy"
"Paulo Coelho, The Devil and Miss Prym"
"John Green, Paper Towns"
"Jodi Picoult, Handle with Care"
"Nicholas Sparks, The Rescue"
"Susane Colasanti, Waiting for You"
"Diana Wynne Jones, Howl's Moving Castle"
E.E. Cummings
"Lisa Kleypas, Again the Magic"
"Harper Lee, To Kill a Mockingbird"
"J.K. Rowling, Harry Potter and the Deathly Hallows"
"Sarah Dessen, This Lullaby"
"Dalai Lama XIV, The Art of Happiness"
Kathleen Tessaro
"Audrey Niffenegger, The Time Traveler's Wife"
"Charlotte Brontë, Jane Eyre"
"Jenny O'Connell, The Book of Luke"
"Fred Rogers, The World According to Mister Rogers: Important Things to Remember"
Colette
"Maggie Stiefvater, Lament: The Faerie Queen's Deception"
"Diana Gabaldon, Dragonfly in Amber"
"Michelle Hodkin, The Evolution of Mara Dyer"
"Salvador Plascencia, The People of Paper"
Brené Brown
"Laurell K. Hamilton, Blue Moon"
"William Goldman, The Princess Bride"
"Charlotte Brontë, Jane Eyre"
"Gabriel García Márquez, Love in the Time of Cholera"
"Gayle Forman, If I Stay"
"Richard Matheson, What Dreams May Come"
"Sylvia Plath, The Journals of Sylvia Plath"
"Stephanie Perkins, Anna and the French Kiss"
Sara Evans
Pablo Neruda
"Michelle Hodkin, The Unbecoming of Mara Dyer"
Maya Angelou
"Roy T. Bennett, The Light in the Heart"
L.M. Montgomery
Nicholas Sparks
"Suzanne Collins, The Hunger Games"
"David Levithan, Naomi and Ely's No Kiss List"
"Nicholas Sparks, The Notebook"
"Carlos Ruiz Zafón, The Shadow of the Wind"
"Richelle Mead, Shadow Kiss"
"Roy T. Bennett, The Light in the Heart"
Edgar Allan Poe
"E.A. Bucchianeri, Brushstrokes of a Gadfly"
Jalaluddin Rumi
"Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience"
Mahatma Gandhi
"Paulo Coelho, Eleven Minutes"
"Jess C. Scott, The Intern"
"Tom Robbins, Still Life with Woodpecker"
Jodi Picoult
"Emily Brontë, Wuthering Heights"
"Rainer Maria Rilke, Letters to a Young Poet"
"Robert Fulghum, True Love"
"Suzanne Collins, The Hunger Games"
"Melina Marchetta, On the Jellicoe Road"
"Jandy Nelson, The Sky Is Everywhere"
"David Levithan, Every Day"
"Ann Brashares, Forever in Blue: The Fourth Summer of the Sisterhood"
"Roy T. Bennett, The Light in the Heart"
Bertrand Russell
"Kate DiCamillo, Because of Winn-Dixie"
Mahatma Gandhi
"Nicholas Sparks, Message in a Bottle"
"Patrick Ness, The Ask and the Answer"
"Saul Williams, , said the shotgun to the head."
"Stephenie Meyer, Twilight"
"Haruki Murakami, Sputnik Sweetheart"
"Richelle Mead, Last Sacrifice"
"Elif Shafak, The Forty Rules of Love"
Jeaniene Frost
"Gayle Forman, If I Stay"
"Elizabeth Gilbert, Eat, Pray, Love"
"Cassandra Clare, City of Heavenly Fire"
"Marc Wambolt, Poems from the Heart"
"Truman Capote, Breakfast at Tiffany's"
"J.K. Rowling, Harry Potter and the Half-Blood Prince"
Emily Dickinson
G.K. Chesterton
"William Shakespeare, Shakespeare's Sonnets"
"Elizabeth Gilbert, Eat, Pray, Love"
"Lauren Oliver, Delirium"
"W. Somerset Maugham, The Painted Veil"
"Brené Brown, The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are"
Neil Gaiman
"Jenny Han, The Summer I Turned Pretty"
Dalai Lama XIV
"J.K. Rowling, Harry Potter and the Half-Blood Prince"
Charles Bukowski
Robert Michaels
"Mitch Albom, For One More Day"
"James Joyce, A Portrait of the Artist as a Young Man"
C. JoyBell C.
"George Bernard Shaw, Man and Superman"
Lady Gaga
"Neil Gaiman, The Graveyard Book"
"Marcus Aurelius, Meditations"
J.D. Salinger
"Neil Gaiman, The Kindly Ones"
"Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience"
"Jess C. Scott, The Devilin Fey"
"Santosh Kalwar, Quote Me Everyday"
"Jon Krakauer, Into the Wild"
C.S. Lewis
"Tony DeLiso, Legacy: The Power Within"
"Diana Gabaldon, Outlander"
"Emily Brontë, Wuthering Heights"
"Emily Brontë, Wuthering Heights"
"Aimee Carter, The Goddess Test"
Demi Lovato
"Madeline Miller, The Song of Achilles"
"Cassandra Clare, City of Glass"
C. JoyBell C.
"William Goldman, The Princess Bride"
"Richelle Mead, Shadow Kiss"
"Becca Fitzpatrick, Crescendo"
"P.G. Wodehouse, Very Good, Jeeves!"
Pablo Neruda
"Elizabeth Gilbert, Eat, Pray, Love"
"Jess C. Scott, The Other Side of Life"
"Veronica Roth, Allegiant"
"Greg Behrendt, He's Just Not That Into You: The No-Excuses Truth to Understanding Guys"
Jodi Picoult
"John Green, The Fault in Our Stars"
"Amy Sedaris, I Like You: Hospitality Under the Influence"
"Virginia Woolf, Orlando"
Colleen Houck
W.B. Yeats
"Paulo Coelho, The Witch Of Portobello"
"Charlie Huston, Already Dead"
Jalaluddin Rumi
George Gordon Byron
"Clive Barker, Days of Magic, Nights of War"
"Paulo Coelho, Eleven Minutes"
Richard Siken
"Leo Tolstoy, Anna Karenina"
Gabriel García Márquez
"Elle Newmark, The Book of Unholy Mischief"
"Cassandra Clare, City of Glass"
C. JoyBell C.
"Gabrielle Zevin, Memoirs of a Teenage Amnesiac"
"Jalaluddin Rumi, Words of Paradise: Selected Poems of Rumi"
"Victor Hugo, Les Misérables"
Jalaluddin Rumi
Woody Allen
"Toni Morrison, Beloved"
"Charlotte Brontë, Jane Eyre"
Johann Wolfgang von Goethe
"Lauren Oliver, Delirium"
"Elizabeth Berg, The Year of Pleasures"
"William Shakespeare, Romeo and Juliet"
Jorge Luis Borges
"James Patterson, Max"
"Nicole Krauss, The History of Love"
"Simone Elkeles, Rules of Attraction"
"Audrey Niffenegger, The Time Traveler's Wife"
Elizabeth Gilbert
"William Shakespeare, The Two Gentlemen of Verona"
"Leo Tolstoy, Anna Karenina"
"Mark Twain, Diaries of Adam & Eve"
"Charlotte Brontë, Jane Eyre"
"Antoine de Saint-Exupéry, The Little Prince"
"Laini Taylor, Daughter of Smoke & Bone"
"Richelle Mead, The Indigo Spell"
"Nicholas Sparks, The Choice"
"Sarah Kane, Crave"
"Charlotte Brontë, Jane Eyre"
"Greg Behrendt, He's Just Not That Into You"
"Bob Dylan, Bob Dylan - Love and Theft: Piano/Vocal/Guitar"
"Stephenie Meyer, Eclipse"
Kahlil Gibran
Shannon L. Alder
Friedrich Nietzsche
"Mitch Albom, Tuesdays with Morrie"
"Robert A. Heinlein, Stranger in a Strange Land"
"Jane Austen, Sense and Sensibility"
E.E. Cummings
"Jodi Picoult, The Pact"
"Nicholas Sparks, The Wedding"
"Charlotte Brontë, Jane Eyre"
"Tabitha Suzuma, Forbidden"
F. Scott Fitzgerald
Drew Barrymore
"Simone Elkeles, Perfect Chemistry"
"William Paul Young, The Shack"
"Becca Fitzpatrick, Hush, Hush"
"Mary Zimmerman, Metamorphoses"
Edgar Allan Poe
"Maria V. Snyder, Poison Study"
Louisa May Alcott
"Martin Luther King Jr., A Knock at Midnight: Inspiration from the Great Sermons of Reverend Martin Luther King, Jr."
"Gillian Flynn, Gone Girl"
"David Levithan, Nick & Norah's Infinite Playlist"
"Haruki Murakami, Norwegian Wood"
"Sara Teasdale, The Collected Poems"
"Yann Martel, Life of Pi"
Mother Teresa
Katerina Stoykova Klemer
Dylan Thomas
"Nicholas Sparks, The Rescue"
"Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience"
"Marie Lu, Legend"
"Nora Ephron, When Harry Met Sally"
"Dorothy Parker, The Complete Poems of Dorothy Parker"
"Nicholas Sparks, The Notebook"
"Veronica Roth, Divergent"
"Marie Lu, Legend"
"Cassandra Clare, City of Bones"
"Marissa Meyer, Cress"
"Emily Giffin, Baby Proof"
"Alice Hoffman, Practical Magic"
Nicholas Sparks
"Thomas Merton, Love and Living"
"Sylvia Plath, The Unabridged Journals of Sylvia Plath"
"Nicholas Sparks, Safe Haven"
"Maggie Stiefvater, The Raven Boys"
Jimi Hendrix
"E.L. James, Fifty Shades Freed"
"Roy T. Bennett, The Light in the Heart"
"Marissa Meyer, Scarlet"
"Milan Kundera, The Unbearable Lightness of Being"
Hermann Hesse
Karl Lagerfeld
Fyodor Dostoyevsky
Willa Cather
"Becca Fitzpatrick, Crescendo"
"J.R. Ward, Lover Mine"
"Kurt Vonnegut Jr., Slaughterhouse-Five"
Sarah Kay
"Simone Elkeles, Perfect Chemistry"
"Cassandra Clare, City of Heavenly Fire"
"Jennifer E. Smith, The Statistical Probability of Love at First Sight"
"Susan Elizabeth Phillips, Kiss an Angel"
"Kristin Hannah, Summer Island"
"Sarah Ockler, Twenty Boy Summer"
"Madeline Miller, The Song of Achilles"
"Patrick Rothfuss, The Name of the Wind"
"Lauren Oliver, Delirium"
"Mandy Hale, The Single Woman: Life, Love, and a Dash of Sass"
G.K. Chesterton
"Veronica Roth, Divergent"
"Thomas Pynchon, Gravity's Rainbow"
E.E. Cummings
"Nicholas Sparks, The Choice"
"Maggie Stiefvater, The Dream Thieves"
"Colleen Hoover, November 9"
"William Shakespeare, Romeo and Juliet"
"Anonymous, Study Bible: NIV"
"Tahereh Mafi, Ignite Me"
"Pablo Neruda, 100 Love Sonnets"
"Julie Kagawa, The Iron Queen"
"William Goldman, The Princess Bride"
"Carol Rifka Brunt, Tell the Wolves I'm Home"
"Alexandre Dumas, The Count of Monte Cristo"
William S. Burroughs
Andy Warhol
"F. Scott Fitzgerald, Tender Is the Night"
"Robert Goolrick, The End of the World as We Know It: Scenes from a Life"
"pleasefindthis, I Wrote This For You"
Stefan Molyneux
Jess C. Scott
"Ana Castillo, I Ask the Impossible"
Laurell K. Hamilton
"Jon Krakauer, Into the Wild"
"Veronica Roth, Allegiant"
"Kiera Cass, The Elite"
Charles M. Schulz
"Tahereh Mafi, Destroy Me"
Johnny Depp
"Stephanie Laurens, The Edge of Desire"
Thomas S. Monson
Karl Lagerfeld
"W. Somerset Maugham, The Moon and Sixpence"
"Jenny Han, To All the Boys I've Loved Before"
"Stieg Larsson, The Girl with the Dragon Tattoo"
"Vita Sackville-West, The Letters of Vita Sackville-West and Virginia Woolf"
"Plato, Phaedrus"
Zayn Malik
Coco J. Ginger
"Charles Bukowski, War All the Time"
"Cassandra Clare, Clockwork Prince"
"Jane Austen, Persuasion"
"David Nicholls, One Day"
"Veronica Roth, Divergent"
Pablo Neruda
"Richard Rodgers, Rodgers & Hammerstein's Cinderella"
"Rainer Maria Rilke, The Selected Poetry of Rainer Maria Rilke"
"Charlotte Brontë, Jane Eyre"
"Michelle Hodkin, The Unbecoming of Mara Dyer"
"Anaïs Nin, Henry and June: From ""A Journal of Love""--The Unexpurgated Diary of Anaïs Nin"
"Michael Bassey Johnson, The Infinity Sign"
"William Shakespeare, Shakespeare's Sonnets"
"Jess C. Scott, Wicked Lovely"
"Tom Robbins, Still Life with Woodpecker"
Colleen Houck
"Renee Ahdieh, The Wrath and the Dawn"
"Charles Dickens, Great Expectations"
Susan Polis Schutz
Demi Lovato
Antoine de Saint-Exupéry
"Elizabeth Chandler, Kissed by an Angel/The Power of Love/Soulmates"
Henri J.M. Nouwen
Ingrid Bergman
"John Green, The Fault in Our Stars"
"David Levithan, Every Day"
"Ally Condie, First Day"
